Time;Frequency;L1C [A];L1V [V];L1P ;L1Q [kVar];L1CosPhi;L2C [A];L2V [V];L2P [kW];L2Q [kVar];L2CosPhi;L3C [A];L3V [V];L3P [kW];L3Q [kVar];L3CosPhi
2024-08-20 19:15.01;50.0;0.09;11.56;0.0;-0.0;0.77;0.15;10.71;0.0;-0.0;0.84;0.12;10.91;0.0;-0.0;0.72
2024-08-20 19:15.02;50.0;0.09;13.71;0.0;-0.0;0.73;0.14;12.64;0.0;-0.0;0.86;0.13;13.05;0.0;-0.0;0.69
2024-08-20 19:15.03;50.0;0.1;14.55;0.0;-0.0;0.85;0.17;13.59;0.0;-0.0;0.9;0.12;13.89;0.0;-0.0;0.66
2024-08-20 19:15.04;50.0;0.1;12.88;0.0;-0.0;0.86;0.15;11.93;0.0;-0.0;0.92;0.13;12.19;0.0;-0.0;0.78
2024-08-20 19:15.05;50.0;0.09;12.36;0.0;-0.0;0.84;0.14;11.56;0.0;-0.0;0.91;0.11;11.77;0.0;-0.0;0.66
2024-08-20 19:15.06;50.0;0.08;12.8;0.0;-0.0;0.84;0.16;11.91;0.0;-0.0;0.91;0.12;12.12;0.0;-0.0;0.74
2024-08-20 19:15.07;50.0;0.09;12.5;0.0;-0.0;0.82;0.15;11.52;0.0;-0.0;0.9;0.12;11.76;0.0;-0.0;0.7
2024-08-20 19:15.08;50.0;0.09;12.37;0.0;-0.0;0.7;0.15;11.48;0.0;-0.0;0.79;0.12;11.99;0.0;-0.0;0.63
2024-08-20 19:15.09;50.0;0.1;12.59;0.0;-0.0;0.81;0.15;11.65;0.0;-0.0;0.92;0.12;11.94;0.0;-0.0;0.71
2024-08-20 19:15.10;50.0;0.09;13.74;0.0;-0.0;0.8;0.14;12.87;0.0;-0.0;0.83;0.12;13.55;0.0;-0.0;0.63
2024-08-20 19:15.11;50.0;0.1;12.83;0.0;-0.0;0.81;0.16;11.85;0.0;-0.0;0.85;0.12;12.16;0.0;-0.0;0.66
2024-08-20 19:15.12;50.0;0.1;12.83;0.0;-0.0;0.81;0.16;11.85;0.0;-0.0;0.85;0.12;12.16;0.0;-0.0;0.66
2024-08-20 19:15.13;50.0;0.09;12.88;0.0;-0.0;0.78;0.14;11.96;0.0;-0.0;0.88;0.11;12.32;0.0;-0.0;0.69
2024-08-20 19:15.14;50.0;0.09;15.13;0.0;-0.0;0.77;0.16;14.16;0.0;-0.0;0.89;0.12;14.8;0.0;-0.0;0.66
